time_mins,event_type,entity_id,location,duration_hours,seed,priority,mechanism,destination,casualty_id,vehicle_id,wait_time_mins,evacuation_time_mins,queue_time_mins,total_time_mins,total_events,total_casualties
0.0,simulation_started,SYSTEM,,8.0,42.0,,,,,,,,,,,
30.0,casualty_generated,CAS_0001,combat_alpha,,,2.0,GSW,,,,,,,,,
30.0,vehicle_dispatched,medic_21,role1_aid,,,,,combat_alpha,CAS_0001,,,,,,,
39.6,vehicle_arrived,medic_21,combat_alpha,,,,,,,,,,,,,
39.6,loading_started,medic_21,combat_alpha,,,,,,CAS_0001,,,,,,,
44.6,casualty_collected,CAS_0001,combat_alpha,,,,,,,medic_21,14.600000000000001,,,,,
44.6,vehicle_departed,medic_21,combat_alpha,,,,,role1_aid,,,,,,,,
45.0,casualty_generated,CAS_0002,combat_bravo,,,1.0,IED,,,,,,,,,
45.0,vehicle_dispatched,medic_22,role1_aid,,,,,combat_bravo,CAS_0002,,,,,,,
51.0,vehicle_arrived,medic_22,combat_bravo,,,,,,,,,,,,,
51.0,loading_started,medic_22,combat_bravo,,,,,,CAS_0002,,,,,,,
56.0,casualty_collected,CAS_0002,combat_bravo,,,,,,,medic_22,11.0,,,,,
56.0,vehicle_departed,medic_22,combat_bravo,,,,,role1_aid,,,,,,,,
57.4,vehicle_arrived,medic_21,role1_aid,,,,,,,,,,,,,
57.4,unloading_started,medic_21,role1_aid,,,,,,,,,,,,,
60.0,casualty_generated,CAS_0003,combat_alpha,,,2.0,GSW,,,,,,,,,
60.0,casualty_generated,CAS_0004,combat_alpha,,,2.0,GSW,,,,,,,,,
60.0,vehicle_dispatched,dustoff_1,role2_med,,,,,combat_alpha,CAS_0003,,,,,,,
62.4,casualty_delivered,CAS_0001,role1_aid,,,,,,,medic_21,,32.4,,,,
62.4,vehicle_returned,medic_21,role1_aid,,,,,,,,,,,,,
62.4,vehicle_dispatched,medic_21,role1_aid,,,,,combat_alpha,CAS_0004,,,,,,,
62.4,treatment_started,CAS_0001,role1_aid,,,,,,,,,,0.0,,,
64.0,vehicle_arrived,medic_22,role1_aid,,,,,,,,,,,,,
64.0,unloading_started,medic_22,role1_aid,,,,,,,,,,,,,
69.0,casualty_delivered,CAS_0002,role1_aid,,,,,,,medic_22,,24.0,,,,
69.0,vehicle_returned,medic_22,role1_aid,,,,,,,,,,,,,
69.0,treatment_started,CAS_0002,role1_aid,,,,,,,,,,0.0,,,
72.0,vehicle_arrived,medic_21,combat_alpha,,,,,,,,,,,,,
72.0,loading_started,medic_21,combat_alpha,,,,,,CAS_0004,,,,,,,
77.0,casualty_collected,CAS_0004,combat_alpha,,,,,,,medic_21,17.0,,,,,
77.0,vehicle_departed,medic_21,combat_alpha,,,,,role1_aid,,,,,,,,
89.52000000000001,vehicle_arrived,dustoff_1,combat_alpha,,,,,,,,,,,,,
89.52000000000001,loading_started,dustoff_1,combat_alpha,,,,,,CAS_0003,,,,,,,
89.8,vehicle_arrived,medic_21,role1_aid,,,,,,,,,,,,,
89.8,unloading_started,medic_21,role1_aid,,,,,,,,,,,,,
90.0,casualty_generated,CAS_0005,combat_bravo,,,3.0,Fall,,,,,,,,,
90.0,vehicle_dispatched,medic_22,role1_aid,,,,,combat_bravo,CAS_0005,,,,,,,
92.4,treatment_completed,CAS_0001,role1_aid,,,,,,,,,,,62.400000000000006,,
94.8,casualty_delivered,CAS_0004,role1_aid,,,,,,,medic_21,,34.8,,,,
94.8,vehicle_returned,medic_21,role1_aid,,,,,,,,,,,,,
94.8,treatment_started,CAS_0004,role1_aid,,,,,,,,,,0.0,,,
96.0,vehicle_arrived,medic_22,combat_bravo,,,,,,,,,,,,,
96.0,loading_started,medic_22,combat_bravo,,,,,,CAS_0005,,,,,,,
97.52000000000001,casualty_collected,CAS_0003,combat_alpha,,,,,,,dustoff_1,37.52000000000001,,,,,
97.52000000000001,vehicle_departed,dustoff_1,combat_alpha,,,,,role1_aid,,,,,,,,
99.0,treatment_completed,CAS_0002,role1_aid,,,,,,,,,,,54.0,,
101.0,casualty_collected,CAS_0005,combat_bravo,,,,,,,medic_22,11.0,,,,,
101.0,vehicle_departed,medic_22,combat_bravo,,,,,role1_aid,,,,,,,,
109.0,vehicle_arrived,medic_22,role1_aid,,,,,,,,,,,,,
109.0,unloading_started,medic_22,role1_aid,,,,,,,,,,,,,
113.97714285714287,vehicle_arrived,dustoff_1,role1_aid,,,,,,,,,,,,,
